level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	104	51	2344	2777	-1	
3	1	1	1	0	0	104	51	2344	2777	-1	
4	1	1	1	1	0	106	51	1432	133	-1	
5	1	1	1	1	1	106	103	118	81	69	a
5	1	1	1	1	2	1215	51	323	62	91	MEDICOS
4	1	1	1	2	0	108	156	124	24	-1	
5	1	1	1	2	1	108	156	51	16	42	ht
5	1	1	1	2	2	221	168	11	12	21	Hi
4	1	1	1	3	0	108	213	911	51	-1	
5	1	1	1	3	1	108	222	113	42	12	AnH
5	1	1	1	3	2	1008	213	11	1	9	z
4	1	1	1	4	0	106	260	111	25	-1	
5	1	1	1	4	1	106	260	111	25	0	petieHh
4	1	1	1	5	0	1059	307	338	52	-1	
5	1	1	1	5	1	1059	307	338	52	0	-CASHMemo(IPD)
4	1	1	1	6	0	652	504	1614	61	-1	
5	1	1	1	6	1	852	556	9	3	1	i
5	1	1	1	6	2	1252	504	239	28	0	PMSOrderDate
5	1	1	1	6	3	1869	527	17	3	31	is
5	1	1	1	6	4	2121	520	8	3	0	F
4	1	1	1	7	0	108	529	2247	140	-1	
5	1	1	1	7	1	108	577	127	92	27	pee
5	1	1	1	7	2	275	581	247	29	0	HSNC.BATCH
5	1	1	1	7	3	724	568	264	30	0	EXPDescription
5	1	1	1	7	4	1560	550	67	29	59	QTy
5	1	1	1	7	5	1711	541	225	29	0	RATEDISC.
5	1	1	1	7	6	2075	529	280	30	0	AMOUNTGST%
4	1	1	1	8	0	137	583	2210	97	-1	
5	1	1	1	8	1	137	650	26	30	24	Ke
5	1	1	1	8	2	207	583	2140	97	24	ers
4	1	1	1	9	0	112	609	2245	112	-1	
5	1	1	1	9	1	112	654	59	67	50	ie
5	1	1	1	9	2	208	671	373	41	0	3004-D2372509A
5	1	1	1	9	3	721	652	566	37	0	07/27ERIDOT1.5GM(CEFTRIAXONE
5	1	1	1	9	4	1589	636	210	31	0	3.-1999.00
5	1	1	1	9	5	1884	617	55	50	95	0.00
5	1	1	1	9	6	2117	609	101	50	62	5997.00
5	1	1	1	9	7	2327	620	30	24	93	12
4	1	1	1	10	0	113	662	2246	100	-1	
5	1	1	1	10	1	113	708	59	54	16	24
5	1	1	1	10	2	222	712	390	34	0	43004BM14D2503A
5	1	1	1	10	3	722	694	577	39	0	07/27FLUTECH2GM(FLUCLOXACIL
5	1	1	1	10	4	1590	677	351	31	0	21999.000.00
5	1	1	1	10	5	2119	667	101	26	56	3998.00
5	1	1	1	10	6	2328	662	31	24	96	12
4	1	1	1	11	0	114	705	2247	110	-1	
5	1	1	1	11	1	114	756	74	55	36	Ket
5	1	1	1	11	2	219	752	22	63	29	i
5	1	1	1	11	3	280	755	304	33	0	3004D0892404A
5	1	1	1	11	4	723	735	574	39	0	06/26ZONEG1200MG(GLUTATHION
5	1	1	1	11	5	1592	721	209	29	0	22450.00
5	1	1	1	11	6	1888	718	54	24	87	0.00
5	1	1	1	11	7	2118	711	103	23	81	4900.00
5	1	1	1	11	8	2344	705	17	24	21	)
4	1	1	1	12	0	104	747	2258	119	-1	
5	1	1	1	12	1	104	791	85	75	23	ee
5	1	1	1	12	2	212	798	354	44	0	,9018SN312292
5	1	1	1	12	3	725	782	443	35	0	02/27EMESET2MG2MLINJ.
5	1	1	1	12	4	1593	768	15	25	96	3
5	1	1	1	12	5	1727	761	215	28	0	13.350.00
5	1	1	1	12	6	2152	752	69	24	75	40.08
5	1	1	1	12	7	2331	747	31	24	96	12
4	1	1	1	13	0	122	781	2241	106	-1	
5	1	1	1	13	1	122	840	479	48	0	HSi/i,3004D24AM020G
5	1	1	1	13	2	726	825	391	34	0	09/26ESOMAN40MGINJ
5	1	1	1	13	3	1594	811	16	24	97	2
5	1	1	1	13	4	1707	803	237	29	0	430.000.00
5	1	1	1	13	5	2138	781	85	51	0	60.00
5	1	1	1	13	6	2333	789	30	24	96	12
4	1	1	1	14	0	109	832	2255	114	-1	
5	1	1	1	14	1	109	872	67	74	46	hey
5	1	1	1	14	2	215	882	347	44	0	H3002-T393L619
5	1	1	1	14	3	727	869	393	32	0	08/26NEOMOLIV100ML
5	1	1	1	14	4	1596	853	15	24	96	3
5	1	1	1	14	5	1710	845	236	29	0	522.000.00
5	1	1	1	14	6	2127	838	98	24	83	1566.00
5	1	1	1	14	7	2349	832	15	23	96	5
4	1	1	1	15	0	108	875	2257	112	-1	
5	1	1	1	15	1	108	932	75	55	41	ping
5	1	1	1	15	2	215	926	329	40	0	i9018-0325009
5	1	1	1	15	3	728	910	428	34	0	04/28BUSCOGASTINJIML
5	1	1	1	15	4	1597	897	15	23	37	2
5	1	1	1	15	5	1730	891	76	25	87	12.80
5	1	1	1	15	6	1893	888	54	23	90	0.00
5	1	1	1	15	7	2156	881	70	24	95	25.60
5	1	1	1	15	8	2334	875	31	24	96	12
4	1	1	1	16	0	120	916	2247	99	-1	
5	1	1	1	16	1	120	969	432	46	0	Weaii,3004PA24114
5	1	1	1	16	2	729	954	374	32	0	09/26DYNAPARAQINI
5	1	1	1	16	3	1598	937	15	26	96	2
5	1	1	1	16	4	1729	933	78	25	96	43.60
5	1	1	1	16	5	1894	931	54	23	94	0.00
5	1	1	1	16	6	2157	922	70	24	94	87.20
5	1	1	1	16	7	2335	916	32	25	96	12
4	1	1	1	17	0	122	952	2246	110	-1	
5	1	1	1	17	1	122	1001	52	61	46	Hey
5	1	1	1	17	2	188	1008	423	51	0	Hiy,,3008BMT24-004A
5	1	1	1	17	3	730	995	355	34	0	03/26VIMZOTECHINI
5	1	1	1	17	4	1600	981	11	24	96	1
5	1	1	1	17	5	1698	972	250	30	0	1700.000.00
5	1	1	1	17	6	2130	952	98	51	96	1700.00
5	1	1	1	17	7	2337	960	31	24	91	12
4	1	1	1	18	0	124	1001	2245	83	-1	
5	1	1	1	18	1	124	1055	115	46	31	ROY
5	1	1	1	18	2	426	1051	149	29	91	WLT24031
5	1	1	1	18	3	732	1039	359	32	0	04/26DROTININJ2ML
5	1	1	1	18	4	1602	1023	10	23	96	1
5	1	1	1	18	5	1732	1015	218	29	0	28.50.00
5	1	1	1	18	6	2160	1007	70	24	94	28.50
5	1	1	1	18	7	2355	1001	14	25	96	5
4	1	1	1	19	0	108	1045	2263	105	-1	
5	1	1	1	19	1	108	1096	151	54	26	Pee
5	1	1	1	19	2	428	1093	173	29	96	2501017092
5	1	1	1	19	3	733	1084	266	30	0	0427RLS00ML
5	1	1	1	19	4	1603	1066	9	22	94	1
5	1	1	1	19	5	1734	1058	218	28	0	74,000.00
5	1	1	1	19	6	2161	1049	70	23	94	74.00
5	1	1	1	19	7	2340	1045	31	23	96	12
4	1	1	1	20	0	109	1086	2263	109	-1	
5	1	1	1	20	1	109	1142	243	53	0	baaiti3004
5	1	1	1	20	2	429	1136	169	28	96	2501002281
5	1	1	1	20	3	734	1126	258	30	0	07/27NSSOOML
5	1	1	1	20	4	1603	1108	15	24	96	2
