level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1545	2000	-1	
2	1	1	0	0	0	111	83	1353	1917	-1	
3	1	1	1	0	0	82	83	1382	1917	-1	
4	1	1	1	1	0	117	83	607	24	-1	
5	1	1	1	1	1	117	96	10	11	68	.
5	1	1	1	1	2	721	83	3	3	73	.
4	1	1	1	2	0	556	251	485	22	-1	
5	1	1	1	2	1	556	251	485	22	0	BillofSupptyInpeatientBIll(Detalited)
4	1	1	1	3	0	120	882	1342	23	-1	
5	1	1	1	3	1	120	882	1342	23	12	ae
4	1	1	1	4	0	149	904	1313	31	-1	
5	1	1	1	4	1	149	916	148	15	0	61.ItemName
5	1	1	1	4	2	600	904	330	31	0	-DeteQty-Unit.UnitPrice
5	1	1	1	4	3	1332	911	130	24	29	Amount(Ra.)
4	1	1	1	5	0	146	924	655	41	-1	
5	1	1	1	5	1	146	924	42	38	64	No.
5	1	1	1	5	2	764	950	37	15	0	a
4	1	1	1	6	0	134	966	1330	29	-1	
5	1	1	1	6	1	134	966	1330	29	0	ConmuketionOSSSSOSOSOSOSSSSS
4	1	1	1	7	0	149	1000	1242	38	-1	
5	1	1	1	7	1	149	1013	119	16	0	1Nishchai
5	1	1	1	7	2	614	1012	156	19	0	ai1y251.0
5	1	1	1	7	3	832	1000	69	38	93	800.00
5	1	1	1	7	4	1327	1012	64	16	93	800.00
4	1	1	1	8	0	189	1034	159	22	-1	
5	1	1	1	8	1	189	1034	159	22	0	Ansnd(General6
4	1	1	1	9	0	190	1059	200	19	-1	
5	1	1	1	9	1	190	1059	200	19	0	LaproscopicSurgeon)
4	1	1	1	10	0	190	1081	168	20	-1	
5	1	1	1	10	1	190	1081	168	20	0	(GeneralSurgery)
4	1	1	1	11	0	147	1092	1244	37	-1	
5	1	1	1	11	1	147	1104	120	16	0	2Mishchsi
5	1	1	1	11	2	614	1102	159	20	0	ally25(1.0
5	1	1	1	11	3	832	1092	69	37	94	800.00
5	1	1	1	11	4	1327	1103	64	16	94	800.00
4	1	1	1	12	0	186	1122	505	28	-1	
5	1	1	1	12	1	186	1122	162	28	0	AnandGeneral%
5	1	1	1	12	2	673	1128	18	7	17	co
4	1	1	1	13	0	191	1149	199	18	-1	
5	1	1	1	13	1	191	1149	199	18	0	LaprascopicSurgeon)
4	1	1	1	14	0	191	1170	497	20	-1	
5	1	1	1	14	1	191	1170	167	20	0	(GeneralSurgery)
5	1	1	1	14	2	675	1182	13	5	0	g9
4	1	1	1	15	0	147	1179	1245	58	-1	
5	1	1	1	15	1	147	1192	11	16	96	3
5	1	1	1	15	2	187	1180	219	57	8	eee?
5	1	1	1	15	3	614	1190	156	20	8	e110
5	1	1	1	15	4	832	1179	86	38	50	250,008
5	1	1	1	15	5	1325	1192	67	17	70	250,00
4	1	1	1	16	0	147	1227	1245	33	-1	
5	1	1	1	16	1	147	1236	121	16	0	4Nishchal
5	1	1	1	16	2	615	1227	301	33	0	g1yz1.0bob.odg
5	1	1	1	16	3	1327	1235	65	16	85	800.00
4	1	1	1	17	0	190	1258	159	20	-1	
5	1	1	1	17	1	190	1258	159	20	0	Anand(General8
4	1	1	1	18	0	191	1280	199	20	-1	
5	1	1	1	18	1	191	1280	199	20	0	LaproecopicS.urgeon)
4	1	1	1	19	0	191	1303	987	20	-1	
5	1	1	1	19	1	191	1303	167	20	0	(GeneralSurgery)
5	1	1	1	19	2	900	1318	3	5	22	.
5	1	1	1	19	3	1167	1317	11	5	32	S
4	1	1	1	20	0	657	1339	754	28	-1	
5	1	1	1	20	1	657	1340	258	27	0	SibTotal12650.003
5	1	1	1	20	2	1328	1339	83	19	95	2,650.00
4	1	1	1	21	0	112	1342	1349	56	-1	
5	1	1	1	21	1	112	1369	106	29	0	Droge
5	1	1	1	21	2	673	1368	18	21	8	z
5	1	1	1	21	3	785	1342	676	52	0	3S?t
4	1	1	1	22	0	112	1402	1268	29	-1	
5	1	1	1	22	1	112	1402	230	27	0	5DOLENTIAFAST
5	1	1	1	22	2	615	1404	274	27	0	a/11/252.0Ampo38.44
5	1	1	1	22	3	1328	1411	52	15	89	76.88
4	1	1	1	23	0	191	1433	616	21	-1	
5	1	1	1	23	1	191	1434	213	20	0	7SMG/1MLINJ(Batch
5	1	1	1	23	2	673	1433	18	9	77	a
5	1	1	1	23	3	771	1434	36	16	84	ules
4	1	1	1	24	0	191	1458	119	18	-1	
5	1	1	1	24	1	191	1458	119	18	0	No./LotNo
