level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1545	2000	-1	
2	1	1	0	0	0	52	22	1434	1958	-1	
3	1	1	1	0	0	52	22	1434	1958	-1	
4	1	1	1	1	0	182	22	1287	33	-1	
5	1	1	1	1	1	182	51	80	3	5	ee
5	1	1	1	1	2	538	48	21	4	0	.
5	1	1	1	1	3	618	40	287	11	0	EEC
5	1	1	1	1	4	956	22	356	28	13	web
5	1	1	1	1	5	1358	50	111	5	17	a
4	1	1	1	2	0	160	52	1326	38	-1	
5	1	1	1	2	1	160	53	9	3	0	.
5	1	1	1	2	2	1331	52	21	5	0	-
5	1	1	1	2	3	1470	55	16	35	67	5
4	1	1	1	3	0	97	288	1343	44	-1	
5	1	1	1	3	1	97	289	83	43	0	BalNo.
5	1	1	1	3	2	401	293	61	11	0	%
5	1	1	1	3	3	957	288	88	42	0	BaDate
5	1	1	1	3	4	1185	304	101	23	0	YN
5	1	1	1	3	5	1386	303	54	24	91	15.06
4	1	1	1	4	0	52	358	1333	42	-1	
5	1	1	1	4	1	52	366	231	30	0	.(PatientNamer
5	1	1	1	4	2	956	358	140	42	0	Age/Genter
5	1	1	1	4	3	1182	369	8	15	70	3
5	1	1	1	4	4	1333	367	52	27	24	oa
4	1	1	1	5	0	97	387	1343	45	-1	
5	1	1	1	5	1	97	387	158	45	0	GuardanName
5	1	1	1	5	2	517	399	3	2	0	.
5	1	1	1	5	3	632	416	105	3	0	ee
5	1	1	1	5	4	810	402	56	23	54	a
5	1	1	1	5	5	960	395	480	28	0	AdmitDe8Tine2ISNORADS20h
4	1	1	1	6	0	95	410	1345	47	-1	
5	1	1	1	6	1	95	410	87	47	94	Address
5	1	1	1	6	2	270	420	3	17	0	j
5	1	1	1	6	3	881	425	233	31	0	,DischargeDaste.
5	1	1	1	6	4	1185	427	255	30	0	L-MENoras13.12
4	1	1	1	7	0	98	446	1192	46	-1	
5	1	1	1	7	1	98	446	142	46	0	Empeneknent
5	1	1	1	7	2	837	448	263	40	0	(NOFDaye
5	1	1	1	7	3	1182	447	108	40	7	fe.
4	1	1	1	8	0	94	483	1296	40	-1	
5	1	1	1	8	1	94	483	108	37	0	Insurance
5	1	1	1	8	2	271	500	3	8	0	)
5	1	1	1	8	3	783	487	49	30	0	.
5	1	1	1	8	4	962	488	137	25	11	RoontNo,
5	1	1	1	8	5	1182	492	15	31	36	A
5	1	1	1	8	6	1292	486	98	31	40	Le
4	1	1	1	9	0	113	685	1137	43	-1	
5	1	1	1	9	1	113	685	1325	43	0	SseReEacaLeURIaeeecaecercecteaereoeeeeexrerresecruee
4	1	1	1	10	0	261	680	650	79	-1	
5	1	1	1	10	1	261	680	262	79	0	soResews
5	1	1	1	10	2	576	680	63	59	6	eve
5	1	1	1	10	3	853	713	58	22	21	ee
4	1	1	1	11	0	122	711	1317	59	-1	
5	1	1	1	11	1	122	729	98	41	0	socccano4
5	1	1	1	11	2	231	711	697	59	0	-TPRIRRSSgseTOOONLMORGaasOpesLR
5	1	1	1	11	3	943	732	496	30	0	ToesefssessecdcccseeesssnsPevsseeeeeseeeecoes
4	1	1	1	12	0	102	762	1337	69	-1	
5	1	1	1	12	1	102	785	117	3	24	ao
5	1	1	1	12	2	234	762	763	69	18	ee
5	1	1	1	12	3	1010	784	429	3	39	maf
4	1	1	1	13	0	159	839	1271	28	-1	
5	1	1	1	13	1	104	839	1326	28	0	o,)aeBtorieionaageerp.
4	1	1	1	14	0	290	913	848	37	-1	
5	1	1	1	14	1	290	917	230	26	0	PLUTD-AeS-t.98t-SDOML-C
5	1	1	1	14	2	590	913	70	37	54	1.068529
5	1	1	1	14	3	756	914	6	36	0	jf
5	1	1	1	14	4	820	940	16	3	0	-
5	1	1	1	14	5	914	940	82	3	34	eee
