level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	791	1024	-1	
2	1	1	0	0	0	29	0	716	1024	-1	
3	1	1	1	0	0	42	0	495	111	-1	
4	1	1	1	1	0	42	0	454	97	-1	
5	1	1	1	1	1	42	0	46	97	55	ii
5	1	1	1	1	2	395	18	101	18	92	MEDICOS
4	1	1	1	2	0	350	95	187	16	-1	
5	1	1	1	2	1	350	95	187	16	0	CASIMemalED)
3	1	1	2	0	0	41	157	704	100	-1	
4	1	1	2	1	0	183	157	554	15	-1	
5	1	1	2	1	1	183	167	128	3	0	--.-
5	1	1	2	1	2	354	157	150	14	0	S
4	1	1	2	2	0	54	223	690	14	-1	
5	1	1	2	2	1	54	223	144	13	0	))o
5	1	1	2	2	2	237	227	65	8	34	Rahat
5	1	1	2	2	3	506	229	4	3	49	1
5	1	1	2	2	4	542	228	26	9	13	me
5	1	1	2	2	5	600	230	12	6	45	ak
5	1	1	2	2	6	675	229	27	8	52	rm
5	1	1	2	2	7	740	228	4	6	67	a
4	1	1	2	3	0	41	235	704	22	-1	
5	1	1	2	3	1	41	235	33	22	16	Ve
5	1	1	2	3	2	106	240	86	8	15	oor
5	1	1	2	3	3	242	240	169	10	0	atMAULAYTwtFPTA
5	1	1	2	3	4	506	241	108	9	4	71a
5	1	1	2	3	5	670	242	32	8	34	ee
5	1	1	2	3	6	735	242	10	8	0	e
3	1	1	3	0	0	29	309	715	715	-1	
4	1	1	3	1	0	69	309	675	27	-1	
5	1	1	3	1	1	69	314	110	16	0	ifoscun
5	1	1	3	1	2	235	309	131	27	0	EerzwiastTae
5	1	1	3	1	3	505	320	4	9	78	5
5	1	1	3	1	4	552	321	61	8	0	7G
5	1	1	3	1	5	679	321	65	9	43	OW
4	1	1	3	2	0	50	459	694	18	-1	
5	1	1	3	2	1	234	465	101	8	8	eee
5	1	1	3	2	2	505	465	108	9	0	3maee
5	1	1	3	2	3	678	466	66	8	21	ams
4	1	1	3	3	0	83	550	658	25	-1	
5	1	1	3	3	1	83	561	33	6	46	aor
5	1	1	3	3	2	169	559	19	9	7	Ay
5	1	1	3	3	3	231	550	25	25	0	ewd
5	1	1	3	3	4	306	559	18	9	24	he
5	1	1	3	3	5	369	550	24	25	24	Cir
5	1	1	3	3	6	514	558	49	9	0	rTM
5	1	1	3	3	7	713	559	28	9	0	bE
4	1	1	3	4	0	33	592	708	31	-1	
5	1	1	3	4	1	33	595	40	28	0	paiee
5	1	1	3	4	2	490	592	72	27	0	GALANGEAMF
5	1	1	3	4	3	700	601	41	9	3	ott
4	1	1	3	5	0	33	648	2	12	-1	
5	1	1	3	5	1	33	648	2	12	56	f
4	1	1	3	6	0	33	784	39	10	-1	
5	1	1	3	6	1	33	784	39	10	25	ie
4	1	1	3	7	0	67	813	5	12	-1	
5	1	1	3	7	1	67	813	5	12	46	H
4	1	1	3	8	0	67	826	5	16	-1	
5	1	1	3	8	1	67	826	5	16	58	5
4	1	1	3	9	0	67	843	14	14	-1	
5	1	1	3	9	1	67	843	14	14	21	Mt
4	1	1	3	10	0	33	878	39	8	-1	
5	1	1	3	10	1	33	878	39	8	46	i
4	1	1	3	11	0	32	890	40	50	-1	
5	1	1	3	11	1	32	890	40	50	23	ne
4	1	1	3	12	0	53	933	19	10	-1	
5	1	1	3	12	1	53	933	19	10	1	Ly
4	1	1	3	13	0	29	943	28	32	-1	
5	1	1	3	13	1	29	943	28	32	40	HN
4	1	1	3	14	0	33	980	692	13	-1	
5	1	1	3	14	1	33	989	1	4	83	1
5	1	1	3	14	2	715	980	10	13	32	2
4	1	1	3	15	0	32	986	655	38	-1	
5	1	1	3	15	1	32	986	655	38	6	Oe
