level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	791	1024	-1	
2	1	1	0	0	0	25	95	736	929	-1	
3	1	1	1	0	0	25	95	736	929	-1	
4	1	1	1	1	0	242	95	321	17	-1	
5	1	1	1	1	1	242	95	209	17	6	CAMA
5	1	1	1	1	2	503	109	60	3	41	Ss
4	1	1	1	2	0	66	157	655	15	-1	
5	1	1	1	2	1	66	167	4	3	3	-
5	1	1	1	2	2	236	157	258	14	1	ee
5	1	1	1	2	3	622	168	3	3	0	-
5	1	1	1	2	4	714	169	7	3	0	-
4	1	1	1	3	0	165	173	576	10	-1	
5	1	1	1	3	1	95	173	77	8	6	ikea
5	1	1	1	3	2	234	173	83	10	37	aoe
5	1	1	1	3	3	494	173	247	9	10	ate
4	1	1	1	4	0	139	227	601	10	-1	
5	1	1	1	4	1	97	227	314	9	29	rete
5	1	1	1	4	2	502	228	238	9	21	ikon
4	1	1	1	5	0	66	318	674	11	-1	
5	1	1	1	5	1	66	318	5	10	19	1
5	1	1	1	5	2	139	319	46	9	12	Woe
5	1	1	1	5	3	233	320	108	8	0	e2ebmTikesintTaaL
5	1	1	1	5	4	503	321	3	6	91	1
5	1	1	1	5	5	543	320	67	9	0	a)t
5	1	1	1	5	6	676	321	22	8	63	a
5	1	1	1	5	7	735	321	5	8	45	t
4	1	1	1	6	0	66	329	673	13	-1	
5	1	1	1	6	1	66	329	5	9	0	d
5	1	1	1	6	2	139	332	51	9	19	orb
5	1	1	1	6	3	238	333	71	8	0	ar?RL
5	1	1	1	6	4	543	333	67	9	14	mae
5	1	1	1	6	5	676	334	22	8	52	ul
5	1	1	1	6	6	732	334	7	8	34	le
4	1	1	1	7	0	66	385	675	10	-1	
5	1	1	1	7	1	66	385	90	10	0	/ee
5	1	1	1	7	2	235	386	87	8	0	eagles
5	1	1	1	7	3	502	386	108	9	0	ium
5	1	1	1	7	4	675	386	66	9	38	kof
4	1	1	1	8	0	102	399	639	9	-1	
5	1	1	1	8	1	102	399	230	8	0	eam
5	1	1	1	8	2	502	399	108	9	0	itso
5	1	1	1	8	3	675	399	66	9	17	Set
4	1	1	1	9	0	66	440	656	15	-1	
5	1	1	1	9	1	66	440	5	14	71	i
5	1	1	1	9	2	139	451	583	4	22	Se
4	1	1	1	10	0	66	456	673	14	-1	
5	1	1	1	10	1	66	456	3	5	27	i
5	1	1	1	10	2	507	461	54	9	0	ANTOTAL,
5	1	1	1	10	3	698	461	41	9	0	waa
4	1	1	1	11	0	66	471	673	15	-1	
5	1	1	1	11	1	66	472	325	9	0	Caeees
5	1	1	1	11	2	512	471	49	14	28	aa
5	1	1	1	11	3	708	472	31	14	29	a
4	1	1	1	12	0	97	482	640	11	-1	
5	1	1	1	12	1	97	484	294	9	17	aE
5	1	1	1	12	2	510	482	50	9	0	aeran
5	1	1	1	12	3	714	482	23	9	12	soi
4	1	1	1	13	0	66	475	695	36	-1	
5	1	1	1	13	1	66	493	325	9	0	5e-er-t
5	1	1	1	13	2	509	475	51	36	18	Serra
5	1	1	1	13	3	708	493	53	15	35	ej
4	1	1	1	14	0	66	485	671	37	-1	
5	1	1	1	14	1	66	505	35	6	0	A
5	1	1	1	14	2	165	503	225	9	0	S6os
5	1	1	1	14	3	478	485	87	37	0	weancerhat
5	1	1	1	14	4	720	503	17	9	45	i
4	1	1	1	15	0	66	496	669	36	-1	
5	1	1	1	15	1	66	512	325	9	14	1)
5	1	1	1	15	2	518	496	42	36	35	repr
5	1	1	1	15	3	699	514	36	9	68	watt
4	1	1	1	16	0	92	522	645	12	-1	
5	1	1	1	16	1	92	522	299	9	9	ees
5	1	1	1	16	2	515	525	45	9	21	aaa
5	1	1	1	16	3	722	525	15	9	24	ns
4	1	1	1	17	0	492	527	268	25	-1	
5	1	1	1	17	1	492	527	69	25	6	DALAM
5	1	1	1	17	2	699	530	61	14	0	wraa/
4	1	1	1	18	0	61	585	697	33	-1	
5	1	1	1	18	1	61	585	9	33	74	ij
4	1	1	1	19	0	65	614	5	17	-1	
5	1	1	1	19	1	65	614	5	17	49	i
4	1	1	1	20	0	28	623	729	46	-1	
5	1	1	1	20	1	28	640	3	4	36	j
5	1	1	1	20	2	66	632	14	37	56	i
4	1	1	1	21	0	65	657	691	23	-1	
5	1	1	1	21	1	65	670	15	8	53	i
4	1	1	1	22	0	72	681	683	32	-1	
5	1	1	1	22	1	72	681	8	7	57	i
4	1	1	1	23	0	50	745	30	36	-1	
5	1	1	1	23	1	50	745	30	36	37	a
4	1	1	1	24	0	72	778	8	17	-1	
5	1	1	1	24	1	72	778	8	17	13	i)
4	1	1	1	25	0	25	876	45	16	-1	
5	1	1	1	25	1	25	876	45	16	14	a
4	1	1	1	26	0	50	925	29	99	-1	
5	1	1	1	26	1	50	925	29	99	35	1
